PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
320.03846,331.60569,19.584644,17.863523,5.3,12,3,35,6325573,2,1,1,B,B,C,B,B,C
187.940828,274.673317,34.846827,29.976173,4.69,12,2,29,6324409,2,1,1,A,D,B,*,A,A
,,,,,12,5,50,6327291,1,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325929,2,1,1,.,.,.,.,.,.
,,,,,12,2,28,6323940,2,0,1,.,.,.,.,.,.
229.01607,231.441719,24.487567,42.687262,5.96,12,2,21,6322805,1,1,1,B,B,A,B,B,B
,,,,,12,3,35,6325504,2,1,1,.,.,.,.,.,.
229.441887,273.216316,24.499688,37.288119,5.96,12,3,33,6325391,2,1,1,A,C,A,D,B,A
329.264119,243.905764,20.929418,36.958522,5.43,12,3,33,6325399,2,1,1,B,C,A,B,B,B
,,,,,12,3,35,6325767,2,1,1,.,.,.,.,.,.
212.318209,224.219872,27.293693,40.802853,4.33,12,1,15,6322363,2,1,2,A,C,C,A,B,A
,,,,4.08,12,2,29,6324248,2,1,2,B,F,C,A,B,B
,,,,,12,3,35,6325604,2,1,1,.,.,.,.,.,.
295.676395,237.993809,18.166871,37.66053,6.53,12,2,23,6323119,1,1,1,B,B,C,C,B,B
285.461369,279.171811,19.787553,27.986351,5.69,12,5,52,6327602,2,1,1,A,D,C,A,B,C
,,,,,12,3,31,6325088,2,1,1,.,.,.,.,.,.
300.765755,270.586861,20.930079,23.12042,5.12,12,4,41,6326284,2,1,1,B,C,A,A,B,B
314.954003,241.077389,21.092384,26.901145,,12,3,31,6324811,2,1,1,B,B,C,.,.,.
227.439133,229.070823,21.158331,39.667456,5.13,12,3,35,6325999,1,1,1,A,C,B,B,B,A
261.124923,257.615538,19.918179,34.464942,4.43,12,3,33,6325356,2,1,1,B,C,B,A,.,.
207.83741,232.991446,26.885671,40.093523,4.51,12,2,21,6322626,2,1,1,B,B,C,A,B,A
240.754317,225.347499,20.455339,34.570299,4.15,12,2,29,6324364,2,1,1,A,C,A,A,B,A
328.840396,313.492998,19.734277,19.436166,4.51,12,2,28,6323968,2,1,1,A,C,C,A,B,A
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
294.46401,261.30527,17.660673,36.264228,5.17,12,2,23,6323164,2,1,1,A,C,C,A,B,B
